amendment_key,origin_opinion_id,origin_case_name,origin_rule,origin_agency,publication_date,pub_year,category,is_reversal,confidence,title,justification,origin_confidence
187420__2010-26347,187420,American Equity Investment Life Insurance v. Securities & Exchange Commission,SEC Rule 151A (Fixed Indexed Annuities Rule),Securities and Exchange Commission,2010-10-20,2010,reversal,yes,0.85,Indexed Annuities,"We are withdrawing rule 151A under the Securities Act of 1933, which defines the terms 'annuity contract' and 'optional annuity contract' under the Act.",0.93
3212871__2017-11455,3212871,United States Telecom Ass'n v. Federal Communications Commission,2015 Open Internet Order (Net Neutrality / Broadband Reclassification Rule),Federal Communications Commission,2017-06-02,2017,reversal,yes,0.93,Restoring Internet Freedom,proposes to return broadband Internet access service to its classification as an information service...and eliminate the Internet standard,0.92
3212871__2018-03464,3212871,United States Telecom Ass'n v. Federal Communications Commission,2015 Open Internet Order (Net Neutrality / Broadband Reclassification Rule),Federal Communications Commission,2018-02-22,2018,reversal,yes,0.97,Restoring Internet Freedom,The Commission restores the classification of broadband internet access service as a lightly-regulated information service,0.92
3212871__2018-10063,3212871,United States Telecom Ass'n v. Federal Communications Commission,2015 Open Internet Order (Net Neutrality / Broadband Reclassification Rule),Federal Communications Commission,2018-05-11,2018,reversal,yes,0.95,Restoring Internet Freedom,"restore the classification of broadband internet access service as an information service, reinstate the private mobile service classification of mobile broadband internet access service, and eliminate the conduct rules imposed by the Title II Order",0.92
8679466__2018-17531,8679466,Ass'n of Private Sector Colleges & Universities v. Duncan,Gainful Employment Rule (2014),Department of Education,2018-08-14,2018,reversal,yes,0.93,Program Integrity: Gainful Employment,"The Secretary proposes to rescind the gainful employment (GE) regulations, which added to the Student Assistance General Provisions requirements for programs that prepare students for gainful employment in a recognized occupation.",0.92
2669957__2019-00936,2669957,"White Stallion Energy Center, LLC v. Environmental Protection Agency",Mercury and Air Toxics Standards (MATS) for Coal- and Oil-Fired Electric Utility Steam Generating Units,Environmental Protection Agency,2019-02-07,2019,reversal,yes,0.95,National Emission Standards for Hazardous Air Pollutants: Coal- and Oil-Fired Electric Utility Steam Generating Units-Reconsideration of Supplemental ,"EPA proposes to find that it is not 'appropriate and necessary' to regulate HAP emissions from coal- and oil-fired EGUs, thereby reversing the Agency's prior conclusion under CAA section 112(n)(1)(A)",0.85
8679466__2019-13703,8679466,Ass'n of Private Sector Colleges & Universities v. Duncan,Gainful Employment Rule (2014),Department of Education,2019-07-01,2019,reversal,yes,0.95,Program Integrity: Gainful Employment,amends the regulations...to rescind the Department's gainful employment (GE) regulations (2014 Rule),0.92
2669957__2020-08607,2669957,"White Stallion Energy Center, LLC v. Environmental Protection Agency",Mercury and Air Toxics Standards (MATS) for Coal- and Oil-Fired Electric Utility Steam Generating Units,Environmental Protection Agency,2020-05-22,2020,reversal,yes,0.95,National Emission Standards for Hazardous Air Pollutants: Coal- and Oil-Fired Electric Utility Steam Generating Units-Reconsideration of Supplemental ,"EPA finds that it is not 'appropriate and necessary' to regulate HAP emissions from coal- and oil-fired EGUs, thereby reversing the Agency's previous conclusion under CAA section 112(n)(1)(A)",0.85
4443143__2023-23630,4443143,Mozilla Corporation v. FCC,Restoring Internet Freedom Order – broadband Internet access as information service,Federal Communications Commission,2023-11-03,2023,reversal,yes,0.93,Safeguarding and Securing the Open Internet,proposes to reestablish the Commission's authority over broadband internet access service by classifying it as a telecommunications service under Title II of the Communications Act,0.92
4444319__2023-23630,4444319,Mozilla Corporation v. FCC,Restoring Internet Freedom Order — broadband information service classification,Federal Communications Commission,2023-11-03,2023,reversal,yes,0.93,Safeguarding and Securing the Open Internet,proposes to reestablish the Commission's authority over broadband internet access service by classifying it as a telecommunications service under Title II of the Communications Act,0.85
4443143__2024-10674,4443143,Mozilla Corporation v. FCC,Restoring Internet Freedom Order – broadband Internet access as information service,Federal Communications Commission,2024-05-22,2024,reversal,yes,0.97,Safeguarding and Securing the Open Internet; Restoring Internet Freedom,The Declaratory Ruling classifies broadband internet access service as a telecommunications service under Title II of the Communications Act,0.92
4444319__2024-10674,4444319,Mozilla Corporation v. FCC,Restoring Internet Freedom Order — broadband information service classification,Federal Communications Commission,2024-05-22,2024,reversal,yes,0.97,Safeguarding and Securing the Open Internet; Restoring Internet Freedom,classifies broadband internet access service as a telecommunications service under Title II of the Communications Act,0.85
2829583__2025-12316,2829583,Home Care Association v. David Weil,Home Care Third-Party Employer Companionship and Live-In Worker Exemption Rule,Department of Labor,2025-07-02,2025,reversal,yes,0.97,Application of the Fair Labor Standards Act to Domestic Service,the Department is proposing to return to the 1975 regulations,0.97
3212871__2025-15107,3212871,United States Telecom Ass'n v. Federal Communications Commission,2015 Open Internet Order (Net Neutrality / Broadband Reclassification Rule),Federal Communications Commission,2025-08-08,2025,reversal,yes,0.85,"Delete, Delete, Delete; Safeguarding and Securing the Open Internet; Restoring Internet Freedom; Implementation of the Local Competition Provisions in",conforms certain rule parts in the Code of Federal Regulations to reflect the rules that are actually in effect as a result of the Ohio Telecom and Iowa Utilities Board II decisions,0.92
